"Teilnehmer","Startzeit","Endzeit","Quelle","Wie alt bist du?","Mit welchem Geschlecht identifizierst du dich?","In welchem Land bist du geboren?","Wie lautet die Postleitzahl (PLZ) deines Wohnortes?","Wie ist dein Familienstand?","Wie viele Kinder hast du?","Welchen höchsten Bildungsstand hast du erreicht?","In welcher Branche arbeitest du?","Was ist deine aktuelle Haupttätigkeit (trifft am ehesten zu)?","Wie wohnst du?","Wo wohnst du?","Welche Religion hast du?","Viele Leute verwenden die Begriffe 'links' und 'rechts', wenn es darum geht, unterschiedliche politische Einstellungen zu kennzeichnen. Wenn du an deine eigenen politischen Ansichten denkst, wo würdest du diese Ansichten auf dieser Skala (0 =""links"", 10 =""rechts"") einstufen?","Welche Partei würdest du wählen, wenn am kommenden Sonntag Bundestagswahl wäre?","Wen kennst du länger? (Lena)","Wen kennst du länger? (Lucas)","Wer ist der größere Sportler? (Lena)","Wer ist der größere Sportler? (Lucas)","Wer kommt eher zu spät? (Lena)","Wer kommt eher zu spät? (Lucas)","Wer macht mehr Unsinn? (Lena)","Wer macht mehr Unsinn? (Lucas)","Wer ist lustiger? (Lena)","Wer ist lustiger? (Lucas)","Wer wird an der Hochzeit wohl betrunkener sein? (Lena)","Wer wird an der Hochzeit wohl betrunkener sein? (Lucas)","Wer würde eher in einem Horrorfilm überleben? (Lena)","Wer würde eher in einem Horrorfilm überleben? (Lucas)","Wer verbringt mehr Zeit auf der Toilette? (Lena)","Wer verbringt mehr Zeit auf der Toilette? (Lucas)","Wer kann besser mit Geld umgehen? (Lena)","Wer kann besser mit Geld umgehen? (Lucas)","Wer ist vernünftiger? (Lena)","Wer ist vernünftiger? (Lucas)","Wer ist abenteuerlustiger? (Lena)","Wer ist abenteuerlustiger? (Lucas)","Wer wünschst sich mehr einen Hund? (Lena)","Wer wünschst sich mehr einen Hund? (Lucas)","Wer fährt besser Fahrrad nach dem Biergartenbesuch? (Lena)","Wer fährt besser Fahrrad nach dem Biergartenbesuch? (Lucas)","Wer hat mehr Narben? (Lena)","Wer hat mehr Narben? (Lucas)","Wer hat nach einem Tag in der Sonne eher die Hautfarbe eines Hummers? (Lena)","Wer hat nach einem Tag in der Sonne eher die Hautfarbe eines Hummers? (Lucas)","Welchen Nachnamen soll das Brautpaar wählen, wenn es nach dir geht?","Wer verbringt mehr Zeit am Handy? (Lena)","Wer verbringt mehr Zeit am Handy? (Lucas)","Wer ist romantischer? (Lena)","Wer ist romantischer? (Lucas)"
"1","05.08.2024 08:00:04","05.08.2024 08:03:20","Direkter Link","57","Frau","DE ","67435","Verheiratet","5","Allgemeine Hochschulreife","Gesundheitswesen und Pflege","Angestellte/r","Miete","Kleinstadt (5000 - 20000 Einwohner)","Keine","4","Bündnis 90/Die Grünen","1","0","0","1","0","1","0","1","1","1","0","1","1","0","0","1","1","0","1","0","0","1","übersprungen","übersprungen","übersprungen","übersprungen","0","1","1","1","Beide sollen ihren aktuellen Nachnamen behalten","1","0","0","1"
"2","05.08.2024 15:03:31","05.08.2024 15:06:48","Direkter Link","34","Mann","Deutschland","67434","Liiert","0","Promotion","Wissenschaft und Forschung","Arbeitslos, arbeitssuchend","Wohngemeinschaft","Mittelstadt (20000 - 100000 Einwohner)","Keine","2","Volt (Volt Deutschland)","1","0","0","1","1","1","0","1","0","1","1","1","1","0","0","1","0","1","1","0","1","1","1","0","1","1","1","0","1","0","Wallbert-Almann","1","1","0","1"
"3","06.08.2024 13:10:35","06.08.2024 13:16:05","Direkter Link","30","Mann","Deutschland","20099","Liiert","0","Master","Wissenschaft und Forschung","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Christlich","3","Ich würde nicht wählen gehen /  Ich wüsste nicht was ich wählen soll","1","1","0","1","0","1","0","1","1","0","0","1","1","0","0","1","1","0","1","0","1","1","1","0","1","0","0","1","1","0","Albert-Wallmann","1","0","1","0"
"4","06.08.2024 14:03:29","06.08.2024 14:08:22","Direkter Link","28","Frau","Deutschland ","64293","Verheiratet","2","Master","Kunst, Kultur und Kreatives","Selbstständige/r","Miete","Großstadt (>100000 Einwohner)","Keine","1","Bündnis 90/Die Grünen","1","0","0","1","1","0","0","1","1","1","0","1","1","0","1","1","0","1","1","1","1","0","1","0","1","1","0","1","1","0","Almann-Wallbert","1","0","0","1"
"5","06.08.2024 14:29:37","06.08.2024 14:38:57","Direkter Link","31","Mann","Deutschland","64293","Verheiratet","2","Promotion","Informations- und Kommunikationstechnologie (IT)","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Christlich","4","Bündnis 90/Die Grünen","1","0","0","1","1","1","1","1","1","1","0","1","1","0","1","1","1","0","1","0","0","1","1","0","0","1","0","1","1","0","Albert-Wallmann","1","0","0","1"
"6","06.08.2024 15:18:46","06.08.2024 15:22:06","Direkter Link","29","Frau","Deutschland","67470","Verheiratet","0","Fachhochschulreife","Tourismus und Gastgewerbe","Angestellte/r","Eigentum","Land (<5000 Einwohner)","Christlich","übersprungen","Möchte ich nicht angeben","1","0","0","1","0","1","0","1","1","0","1","1","1","0","0","1","1","0","1","0","1","1","1","1","1","0","0","1","1","0","Almann","0","1","0","1"
"7","06.08.2024 17:42:33","06.08.2024 17:48:21","Direkter Link","59","Mann","Deutschland ","67435","Verheiratet","5","Diplom","Wissenschaft und Forschung","Angestellte/r","Miete","Kleinstadt (5000 - 20000 Einwohner)","Keine","3","SPD (Sozialdemokratische Partei Deutschlands)","1","0","0","1","0","1","0","1","1","1","0","1","0","1","0","1","1","0","1","0","0","1","1","1","1","0","0","1","1","1","Beide sollen ihren aktuellen Nachnamen behalten","1","1","1","1"
"8","06.08.2024 18:54:54","06.08.2024 18:58:19","Direkter Link","32","Frau","Deutschland ","67434","Liiert","0","Master","Medien und Kommunikation","Angestellte/r","Miete","Mittelstadt (20000 - 100000 Einwohner)","Christlich","3","Bündnis 90/Die Grünen","1","0","0","1","0","1","0","1","1","0","0","1","1","0","0","1","1","0","1","1","1","1","1","0","1","0","0","1","1","0","Almann-Wallbert","1","0","0","1"
"9","06.08.2024 21:36:08","06.08.2024 21:40:36","Direkter Link","27","Mann","Deutschland ","50825","Möchte ich nicht angeben","0","Fachhochschulreife","Transport und Logistik","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Christlich","4","Möchte ich nicht angeben","1","1","0","1","0","1","0","1","1","0","1","0","0","1","0","1","1","0","1","0","1","1","1","1","1","0","0","1","1","0","Almann-Wallbert","1","0","1","0"
"10","07.08.2024 20:25:58","07.08.2024 20:36:46","Direkter Link","80","Frau","Deutschland ","56203","Verwitwet","1","Bachelor","Andere","Rentner/in, Pensionär/in","Eigentum","Kleinstadt (5000 - 20000 Einwohner)","Keine","5","Möchte ich nicht angeben","1","0","0","1","1","1","1","0","1","0","0","1","0","1","0","1","1","0","1","0","1","0","1","0","1","0","0","1","1","0","Beide sollen ihren aktuellen Nachnamen behalten","1","0","1","0"
"11","09.08.2024 17:10:57","09.08.2024 17:17:30","Direkter Link","30","Frau","Deutschland ","22767","Verheiratet","0","Master","Medien und Kommunikation","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Keine","3","Bündnis 90/Die Grünen","1","0","1","0","0","1","0","1","1","0","0","1","1","0","0","1","1","0","1","0","0","1","1","0","1","0","0","1","1","0","Almann","1","0","0","1"
"12","09.08.2024 17:13:50","09.08.2024 17:21:40","Direkter Link","Too good to go","Divers","Deutschland ","22767","Möchte ich nicht angeben","7","Kein Abschluss","Sicherheitsdienste und Militär","Ich lebe von Einkünften aus Kapitalvermögen/Vermietungen/Verpachtungen","Wohngemeinschaft","Großstadt (>100000 Einwohner)","Hinduistisch","übersprungen","SPD (Sozialdemokratische Partei Deutschlands)","1","0","1","0","0","1","1","0","1","0","0","1","1","0","0","1","1","0","1","0","1","0","1","0","1","0","1","0","0","1","Almann","0","1","1","0"
"13","10.08.2024 15:59:45","10.08.2024 16:04:58","Direkter Link","60","Mann","Deutschland ","63762","Verheiratet","1","Allgemeine Hochschulreife","Handel und Vertrieb","Angestellte/r","Eigentum","Land (<5000 Einwohner)","Christlich","2","FW (Freie Wähler)","0","1","0","1","0","1","0","1","1","1","0","1","1","1","1","1","1","0","1","0","0","1","1","1","1","0","0","1","1","0","Wallmann","1","1","1","0"
"14","10.08.2024 16:08:18","10.08.2024 16:16:00","Direkter Link","58","Frau","Deutschland","63762","Verheiratet","1","Berufsausbildung","Handel und Vertrieb","Angestellte/r","Eigentum","Land (<5000 Einwohner)","Christlich","3","FW (Freie Wähler)","0","1","0","1","0","1","0","1","1","1","0","1","1","1","0","1","1","0","1","0","1","1","1","1","1","0","0","1","1","0","Wallmann","1","1","1","1"
"15","11.08.2024 10:09:19","11.08.2024 10:13:46","Direkter Link","28","Frau","Deutschland ","89077","Liiert","Keine","Berufsausbildung","Gesundheitswesen und Pflege","Angestellte/r","Miete","Mittelstadt (20000 - 100000 Einwohner)","Keine","3","Bündnis 90/Die Grünen","0","1","0","1","0","1","0","1","1","1","1","1","0","1","0","1","1","0","1","0","0","1","1","0","0","1","0","1","1","0","Wallbert-Almann","1","0","1","0"
"16","13.08.2024 11:53:34","13.08.2024 11:57:28","Direkter Link","29","Frau","Deutschland","65183","Verheiratet","2 Katzenkinder","Master","Bildung und Erziehung","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Christlich","4","Volt (Volt Deutschland)","1","0","0","1","0","1","0","1","1","0","0","1","1","0","0","1","1","0","1","0","0","1","1","0","1","0","0","1","1","0","Almann","1","0","0","1"
"17","13.08.2024 12:03:06","13.08.2024 12:05:41","Direkter Link","27","Frau","Deutschland ","50825 ","Ledig","0","Master","Wissenschaft und Forschung","Sonstige","Miete","Großstadt (>100000 Einwohner)","Keine","3","Bündnis 90/Die Grünen","1","0","0","1","0","1","1","1","1","0","0","1","0","1","0","1","1","0","1","0","1","0","1","0","1","0","0","1","1","0","Almann","0","1","0","1"
"18","13.08.2024 12:57:22","13.08.2024 13:02:00","Direkter Link","28","Frau","Deutschland","55116","Ledig","0","Master","Medien und Kommunikation","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Keine","2","Tierschutzpartei (Partei Mensch Umwelt Tierschutz)","1","0","0","1","0","1","1","0","1","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","Almann-Wallbert","0","1","1","0"
"19","13.08.2024 13:08:34","13.08.2024 13:13:17","Direkter Link","33","Mann","Deutschland","27804","Ledig","0","Möchte ich nicht angeben","Möchte ich nicht sagen","Möchte ich nicht angeben","Möchte ich nicht angeben","Möchte ich nicht angeben","Möchte ich nicht angeben","5","Möchte ich nicht angeben","1","0","0","1","1","0","0","1","1","0","1","1","0","1","1","0","1","0","1","0","1","1","1","0","0","1","1","0","1","0","Almann","1","1","1","0"
"20","13.08.2024 13:54:27","13.08.2024 13:59:38","Direkter Link","31","Mann","Deutschland","86159","Ledig","0","Master","Wissenschaft und Forschung","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Keine","3","Bündnis 90/Die Grünen","1","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","1","0","1","0","1","0","1","0","0","1","0","1","1","0","Beide sollen ihren aktuellen Nachnamen behalten","1","0","1","0"
"21","13.08.2024 21:57:20","13.08.2024 22:00:54","Direkter Link","39","Frau","Sauerland","80805","Liiert","0","Möchte ich nicht angeben","Gesundheitswesen und Pflege","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Keine","2","Volt (Volt Deutschland)","1","1","0","1","0","1","0","1","1","1","0","1","1","0","0","1","1","0","1","0","0","1","1","0","1","0","0","1","1","0","Wallbert","1","1","1","0"
"22","13.08.2024 21:55:07","13.08.2024 22:03:11","Direkter Link","34","Mann","Deutschland ","80805","Liiert","0","Master","Wissenschaft und Forschung","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Christlich","2","Volt (Volt Deutschland)","0","1","0","1","0","1","0","1","0","1","0","1","1","0","1","1","1","0","1","0","1","1","1","1","1","0","0","1","1","1","Wallbert","1","0","1","0"
"23","13.08.2024 23:42:29","13.08.2024 23:48:16","Direkter Link","30","Frau","Bangladesch ","50679","Verheiratet","0","Master","Andere","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Muslimisch","3","SPD (Sozialdemokratische Partei Deutschlands)","1","0","1","0","1","0","1","0","1","0","1","0","1","0","0","1","1","0","1","0","1","0","1","0","1","0","0","1","1","1","Almann","1","1","1","0"
"24","14.08.2024 08:09:36","14.08.2024 08:16:30","Direkter Link","29","Frau","Pfalz","67059","Ledig","0","Master","Bildung und Erziehung","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Christlich","2","Tierschutzpartei (Partei Mensch Umwelt Tierschutz)","1","0","0","1","0","1","0","1","0","1","0","1","1","0","0","1","1","0","1","0","0","1","1","1","1","0","0","1","1","0","Almann","0","1","0","1"
"25","14.08.2024 09:25:43","14.08.2024 09:34:53","Direkter Link","21","Mann","Deutschland","69120","Ledig","0","Allgemeine Hochschulreife","Kunst, Kultur und Kreatives","Student/in","Wohngemeinschaft","Großstadt (>100000 Einwohner)","Keine","3","Bündnis 90/Die Grünen","1","0","0","1","0","1","0","1","1","1","0","1","1","0","0","1","1","0","1","0","1","1","1","0","1","0","0","1","1","0","Almann-Wallbert","0","1","1","0"
"26","14.08.2024 09:57:10","14.08.2024 10:00:38","Direkter Link","36","Mann","Deutschland","38106","Ledig","0","Promotion","Wissenschaft und Forschung","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Keine","1","Die Linke","0","1","0","1","0","1","0","1","1","0","0","1","1","0","0","1","1","0","1","0","1","0","1","1","1","0","0","1","0","1","Wallbert-Almann","1","1","0","1"
"27","14.08.2024 11:17:01","14.08.2024 11:28:43","Direkter Link","29","Frau","Deutschland","78467","Liiert","0","Master","Bildung und Erziehung","Angestellte/r","Miete","Mittelstadt (20000 - 100000 Einwohner)","Christlich","5","Möchte ich nicht angeben","1","0","0","1","0","1","1","1","1","0","0","1","1","0","0","1","1","0","1","0","1","0","0","1","1","0","0","1","1","0","Albert","0","1","0","1"
"28","14.08.2024 14:58:15","14.08.2024 15:03:47","Direkter Link","30","Frau","Russland","80337","Verheiratet","1 (er hat 4 Pfoten)","Bachelor","Kunst, Kultur und Kreatives","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Keine","2","Die PARTEI (Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative)","1","0","0","1","0","1","0","1","1","0","0","1","1","0","0","1","1","0","1","0","1","1","1","0","1","0","0","1","1","0","Almann","0","1","1","0"
"29","14.08.2024 18:22:56","14.08.2024 18:30:01","Direkter Link","62","Frau","Deutschland ","64319","Verheiratet","3","Berufsausbildung","Bildung und Erziehung","Rentner/in, Pensionär/in","Eigentum","Mittelstadt (20000 - 100000 Einwohner)","Christlich","2","SPD (Sozialdemokratische Partei Deutschlands)","0","1","0","1","0","1","0","1","1","1","0","1","0","1","0","1","1","0","1","1","1","1","1","0","1","0","0","1","1","0","Wallmann-Albert","1","1","1","1"
"30","14.08.2024 19:53:39","14.08.2024 20:05:49","Direkter Link","34","Frau","Deutschland","81543","Liiert","0","Diplom","Gesundheitswesen und Pflege","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Christlich","5","SPD (Sozialdemokratische Partei Deutschlands)","0","1","0","1","0","1","0","1","0","1","0","1","1","0","0","1","1","0","1","0","0","1","1","0","1","0","0","1","1","0","Wallbert","1","0","1","0"
"31","14.08.2024 22:15:52","14.08.2024 22:29:08","Direkter Link","31","Frau","Deutschland","80935","Liiert","0","Master","Andere","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Muslimisch","5","Bündnis 90/Die Grünen","1","1","0","1","1","0","0","1","0","1","0","1","0","1","0","1","0","1","1","0","0","1","1","0","1","0","0","1","0","1","Albert-Wallmann","1","0","1","0"
"32","15.08.2024 07:50:09","15.08.2024 07:53:17","Direkter Link","25","Mann","Deutschland","67435","Ledig","0","Master","Handel und Vertrieb","Student/in","Miete","Großstadt (>100000 Einwohner)","Christlich","6","Ich würde nicht wählen gehen /  Ich wüsste nicht was ich wählen soll","1","0","0","1","1","0","0","1","1","0","0","1","0","1","0","1","1","0","1","0","0","1","1","0","1","0","0","1","1","0","Albert-Wallmann","1","0","1","1"
"33","15.08.2024 11:26:37","15.08.2024 11:53:02","Direkter Link","30","Frau","Deutschland","69181","Verheiratet","0","Bachelor","Kunst, Kultur und Kreatives","Sonstige","Möchte ich nicht angeben","Mittelstadt (20000 - 100000 Einwohner)","Andere","1","Andere","1","1","0","1","1","1","0","1","1","1","0","1","1","0","1","1","1","0","1","1","0","1","1","1","1","0","1","1","1","0","Wallmann-Albert","0","1","0","1"
"34","15.08.2024 20:36:15","15.08.2024 20:40:12","Direkter Link","29","Frau","Deutschland ","63071","Liiert","0","Master","Medien und Kommunikation","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Andere","3","Möchte ich nicht angeben","1","0","0","1","0","1","0","1","1","0","1","1","1","0","1","1","1","0","0","1","0","1","1","1","1","0","0","1","1","0","Wallbert","0","1","0","1"
"35","15.08.2024 20:52:08","15.08.2024 20:57:33","Direkter Link","30","Frau","Afghanistan","13088","Ledig","0","Master","Medien und Kommunikation","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Keine","2","Die Linke","1","0","0","1","0","1","0","1","1","0","0","1","1","0","0","1","1","0","1","0","1","1","1","1","1","0","0","1","1","0","Almann","0","1","1","0"
"36","15.08.2024 22:54:34","15.08.2024 23:02:26","Direkter Link","32","Frau","Deutschland ","60318","Liiert","0","Bachelor","Baugewerbe","Student/in","Miete","Großstadt (>100000 Einwohner)","Christlich","5","Möchte ich nicht angeben","1","1","0","1","0","1","0","1","1","0","0","1","1","0","0","1","1","0","1","0","1","1","1","0","1","0","0","1","1","0","Beide sollen ihren aktuellen Nachnamen behalten","1","1","1","1"
"37","15.08.2024 22:52:31","15.08.2024 23:02:21","Direkter Link","31","Mann","Deutschland","60318","Liiert","0","Master","Informations- und Kommunikationstechnologie (IT)","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Keine","5","Möchte ich nicht angeben","0","1","0","1","0","1","0","1","1","0","0","1","1","0","0","1","1","0","1","0","1","1","1","0","1","0","0","1","1","0","Beide sollen ihren aktuellen Nachnamen behalten","1","1","1","1"
"38","16.08.2024 16:23:57","16.08.2024 16:28:28","Direkter Link","62","Mann","Deutschland","64319","Verheiratet","3","Diplom","Produktion und Fertigung","Angestellte/r","Eigentum","Mittelstadt (20000 - 100000 Einwohner)","Keine","2","SPD (Sozialdemokratische Partei Deutschlands)","0","1","0","1","0","1","0","1","1","1","0","1","0","1","1","1","1","0","1","0","0","1","1","0","1","0","0","1","1","0","Wallmann-Albert","1","1","1","1"
"39","16.08.2024 08:24:44","16.08.2024 08:30:33","Direkter Link","34","Mann","Deutschland","71083","Verheiratet","0","Bachelor","Informations- und Kommunikationstechnologie (IT)","Angestellte/r","Miete","Mittelstadt (20000 - 100000 Einwohner)","Keine","3","Andere","0","1","1","1","0","1","0","1","1","1","0","1","1","0","1","1","1","0","1","0","1","1","1","0","1","0","0","1","1","1","Wallbert","1","1","1","0"
"40","16.08.2024 19:21:25","16.08.2024 19:27:34","Direkter Link","29","Möchte ich nicht angeben","Deutschland","86161","Möchte ich nicht angeben","0","Möchte ich nicht angeben","Möchte ich nicht sagen","Möchte ich nicht angeben","Möchte ich nicht angeben","Großstadt (>100000 Einwohner)","Möchte ich nicht angeben","2","Möchte ich nicht angeben","1","0","0","1","0","1","0","1","1","0","0","1","1","0","0","1","1","0","1","0","1","1","1","0","1","0","0","1","1","0","Beide sollen ihren aktuellen Nachnamen behalten","1","1","1","0"
"41","16.08.2024 20:21:33","16.08.2024 20:26:07","Direkter Link","36","Mann","Deutschland ","81549","Liiert","0","Master","Informations- und Kommunikationstechnologie (IT)","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Keine","7","FDP (Freie Demokratische Partei)","0","1","0","1","0","1","0","1","0","1","0","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","0","Almann","0","1","1","0"
"42","16.08.2024 20:24:06","16.08.2024 20:30:45","Direkter Link","28","Frau","Deutschland ","81677","Liiert","0","Bachelor","Soziale Dienste und Gemeinwesenarbeit","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Keine","1","Bündnis 90/Die Grünen","1","1","0","1","0","1","0","1","0","1","0","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","Beide sollen ihren aktuellen Nachnamen behalten","0","1","1","0"
"43","16.08.2024 21:31:50","16.08.2024 21:47:54","Direkter Link","41","Mann","Deutschland","50354","Liiert","0","Berufsausbildung","Transport und Logistik","Angestellte/r","Miete","Mittelstadt (20000 - 100000 Einwohner)","Christlich","übersprungen","Andere","1","0","1","0","0","1","1","0","1","0","1","0","1","1","1","0","1","0","1","0","1","0","0","1","1","0","1","0","1","0","Almann-Wallbert","1","0","1","0"
"44","16.08.2024 22:30:54","16.08.2024 22:35:08","Direkter Link","29","Frau","Deutschland","50354","Liiert","0","Master","Handel und Vertrieb","Angestellte/r","Miete","Mittelstadt (20000 - 100000 Einwohner)","Keine","3","Bündnis 90/Die Grünen","1","0","0","1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","0","1","0","1","1","0","Wallbert-Almann","1","0","1","0"
"45","17.08.2024 09:32:15","17.08.2024 09:36:04","Direkter Link","30","Frau","Deutschland ","86157","Ledig","0","Bachelor","Baugewerbe","Selbstständige/r","Miete","Kleinstadt (5000 - 20000 Einwohner)","Keine","3","Bündnis 90/Die Grünen","1","1","0","1","0","1","0","1","1","1","0","1","1","0","0","1","1","1","1","0","1","1","1","0","1","0","0","1","1","0","Wallbert","1","1","1","1"
"46","17.08.2024 10:14:40","17.08.2024 10:22:32","Direkter Link","30","Mann","Deutschland","67059","Ledig","0","Master","Baugewerbe","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Christlich","5","Bündnis 90/Die Grünen","1","0","0","1","1","1","0","1","1","1","0","1","1","0","0","1","1","1","1","0","0","1","1","0","1","0","0","1","1","0","Wallbert","1","1","1","0"
"47","17.08.2024 15:46:40","17.08.2024 16:00:40","Direkter Link","78 Jahre ","Frau","Germany","64319","Verwitwet","2 einen Sohn und eine Tochter ","Realschulabschluss","Handel und Vertrieb","Angestellte/r","Eigentum","Kleinstadt (5000 - 20000 Einwohner)","Keine","4","Tierschutzpartei (Partei Mensch Umwelt Tierschutz)","0","1","0","1","1","1","0","1","0","1","0","1","1","0","0","1","1","0","1","1","1","1","1","1","1","0","0","1","1","0","Wallmann-Albert","1","1","1","0"
"48","17.08.2024 23:02:49","17.08.2024 23:07:36","Direkter Link","34","Mann","Deutschland","64625","Verheiratet","0","Master","Finanz- und Versicherungswesen","Angestellte/r","Eigentum","Mittelstadt (20000 - 100000 Einwohner)","Christlich","7","Ich würde nicht wählen gehen /  Ich wüsste nicht was ich wählen soll","0","1","0","1","0","1","0","1","1","1","0","1","1","0","0","1","1","0","1","0","0","1","1","0","1","0","0","1","1","0","Almann","1","0","1","0"
"49","18.08.2024 11:20:44","18.08.2024 11:25:43","Direkter Link","27","Mann","DE","86159","Liiert","0","Bachelor","Medien und Kommunikation","Angestellte/r","Wohngemeinschaft","Großstadt (>100000 Einwohner)","Keine","2","Bündnis 90/Die Grünen","1","0","0","1","0","1","1","0","1","0","0","1","1","1","0","1","1","0","1","0","1","1","1","0","1","1","0","1","1","0","Almann","1","0","1","0"
"50","19.08.2024 11:22:11","19.08.2024 11:26:12","Direkter Link","34","Frau","Deutschland","18246","Liiert","1","Berufsausbildung","Rechtswesen und Verwaltung","Angestellte/r","Eigentum","Kleinstadt (5000 - 20000 Einwohner)","Keine","3","Bündnis 90/Die Grünen","1","1","0","1","0","1","1","1","1","0","0","1","1","0","1","1","1","1","1","0","0","1","0","1","1","1","0","1","1","0","Beide sollen ihren aktuellen Nachnamen behalten","1","0","1","0"
